Results for dataset 3 (AIC) (Mean-field):

RMSE:                               MAE:                                Corr:                              
1.9844993822990271                  1.4644278005078748                  0.7757319505709029                 
1.9894966118703605                  1.4688774428448759                  0.7744692301058586                 
2.000287009600629                   1.471396912922253                   0.7716466002549458                 
1.9887016937223425                  1.4637910976066246                  0.7746895346680028                 
1.9871141010459301                  1.4628162302889742                  0.7752436066989356                 
1.9784968046109794                  1.4567581332839645                  0.777312311022677                  
1.9961372471883634                  1.4699774167917155                  0.772685215699471                  
1.9850195483407198                  1.4676033345548                     0.776005976023625                  
1.9945157515842518                  1.4684083749343444                  0.7731957241250532                 
1.9819157403180565                  1.4645189360694006                  0.7764499499902123                 
1.9801319115733127                  1.4582735026801552                  0.7769020477737184                 
2.003990918804156                   1.4720373666799582                  0.7706483306412083                 
1.9904127695010885                  1.4648500474484953                  0.7742177308804089                 
1.9853943355466555                  1.4658406150710952                  0.7755145762447022                 
1.99368226114683                    1.4673523714353849                  0.7734757729349977                 
1.9787664315955937                  1.4579314405137713                  0.7775236885922623                 
1.990032603002024                   1.4670815785248597                  0.7743159758210005                 
1.9952815301888698                  1.4678362919403627                  0.7729869753236028                 
1.9906926906578621                  1.4676873889174666                  0.7741880682077659                 
1.9856036414752543                  1.4639479872939345                  0.7754628488767319                 
1.9904235128157386                  1.4695749313862354                  0.7742639679312715                 
1.9944228115566438                  1.4684701749870368                  0.7732482216905993                 
1.9924477463286145                  1.468461111978487                   0.7736863321670512                 
1.9906008612134336                  1.4688927043784965                  0.774179074650223                  
1.9862795348023776                  1.4618023985976332                  0.7753277168922529                 
1.9924950295277257                  1.468263569775525                   0.7736950231586862                 
1.9905362220387055                  1.4701708699609186                  0.7742306255137296                 
1.979714404311456                   1.4605692080310635                  0.7770856130891328                 
1.9930316857241133                  1.4688302033895009                  0.7735082153014623                 
1.9975011907633125                  1.467701161707247                   0.7723983859243542                 
1.9920814014957282                  1.4703396228221324                  0.7738026916370415                 
1.992604187491964                   1.4691211308564271                  0.7737697456786083                 
1.9891792355886189                  1.4691199506963935                  0.7745214366194089                 
1.9971907764557846                  1.4713578505797669                  0.7724158472137141                 
1.9929142738728456                  1.4685821456832808                  0.7735827610910374                 
1.991757995443325                   1.4687436347728495                  0.7739615681465177                 
1.9970003684048006                  1.4704164057761222                  0.7725444518311771                 
1.9748767493908728                  1.4534063021819275                  0.7782438319659526                 
1.9926178624783384                  1.4699035144305683                  0.7736302587099776                 
2.007152091619839                   1.483647905909144                   0.7697787813008666                 
1.9902905985868176                  1.4677872440597795                  0.7742292652657076                 
2.005773754181248                   1.47888998011569                    0.7701876600251032                 
2.004930621637275                   1.4791213639147647                  0.770369207615081                  
1.988647807169569                   1.466580811205569                   0.7746548439556146                 
1.9920827509557442                  1.469231485246538                   0.7738295768031636                 
1.9903949661662859                  1.467696933416991                   0.7742841045687725                 
1.987187460178963                   1.4683388575419292                  0.7752901015220233                 
1.9710692829082073                  1.4520074802118021                  0.7792313285220429                 
1.992099619128812                   1.46692407310188                    0.7737596172011063                 
1.985102648997857                   1.4655110964903961                  0.7756086802926871                 
1.9874373405401233                  1.4644434529620487                  0.7749694036109306                 
1.9834222932321208                  1.4586220933152392                  0.7760734077422344                 
1.9896693754683972                  1.4659218637792915                  0.7744774480366877                 
1.9881255173555468                  1.4657449508691813                  0.7748541457711982                 
1.986053811399133                   1.461696267963291                   0.7753450601053214                 
1.9909846015844137                  1.4678410280932177                  0.7741553748531735                 
1.988505433960929                   1.4657256590114818                  0.7747108240274833                 
1.9906203200791046                  1.4684088564253188                  0.7741564490011225                 
1.98223766996865                    1.4604543164685682                  0.7763291736050975                 
1.9875458540913882                  1.4657155895853664                  0.774980146897092                  
